商品,日期,GDP_亿元,预测值,前值,GDP_亿元_同比
中国GDP年率报告,2011,9.8,9.5,9.6,
中国GDP年率报告,2011,9.7,9.4,9.8,-1.0204081632653184
中国GDP年率报告,2011,9.5,9.5,9.7,-2.0618556701030855
中国GDP年率报告,2011,9.1,9.2,9.5,-4.210526315789476
中国GDP年率报告,2012,8.9,8.8,9.1,-2.19780219780219
中国GDP年率报告,2012,8.1,8.3,8.9,-8.988764044943832
中国GDP年率报告,2012,7.6,7.6,8.1,-6.172839506172845
中国GDP年率报告,2012,7.4,7.4,7.6,-2.631578947368407
中国GDP年率报告,2013,7.9,7.8,7.4,6.756756756756754
中国GDP年率报告,2013,7.7,8.0,7.9,-2.5316455696202556
中国GDP年率报告,2013,7.5,7.5,7.7,-2.5974025974025983
中国GDP年率报告,2013,7.8,7.8,7.5,4.0000000000000036
中国GDP年率报告,2014,7.7,7.6,7.8,-1.2820512820512775
中国GDP年率报告,2014,7.4,7.3,7.7,-3.8961038961038974
中国GDP年率报告,2014,7.5,7.4,7.4,1.3513513513513375
中国GDP年率报告,2014,7.3,7.2,7.5,-2.6666666666666727
中国GDP年率报告,2015,7.3,7.2,7.3,0.0
中国GDP年率报告,2015,7.0,7.0,7.3,-4.109589041095885
中国GDP年率报告,2015,7.0,6.9,7.0,0.0
中国GDP年率报告,2015,6.9,6.8,7.0,-1.4285714285714235
中国GDP年率报告,2016,6.8,6.8,6.9,-1.449275362318847
中国GDP年率报告,2016,6.7,6.7,6.8,-1.4705882352941124
中国GDP年率报告,2016,6.7,6.6,6.7,0.0
中国GDP年率报告,2016,6.7,6.7,6.7,0.0
中国GDP年率报告,2017,6.8,6.7,6.7,1.4925373134328401
中国GDP年率报告,2017,6.9,6.8,6.8,1.4705882352941346
中国GDP年率报告,2017,6.9,6.8,6.9,0.0
中国GDP年率报告,2017,6.8,6.8,6.9,-1.449275362318847
中国GDP年率报告,2018,6.8,6.7,6.8,0.0
中国GDP年率报告,2018,6.8,6.8,6.8,0.0
中国GDP年率报告,2018,6.7,6.7,6.8,-1.4705882352941124
中国GDP年率报告,2018,6.5,6.6,6.7,-2.985074626865669
中国GDP年率报告,2019,6.4,6.4,6.5,-1.538461538461533
中国GDP年率报告,2019,6.4,6.3,6.4,0.0
中国GDP年率报告,2019,6.2,6.2,6.4,-3.125
中国GDP年率报告,2019,6.0,6.1,6.2,-3.2258064516129115
中国GDP年率报告,2020,6.0,6.0,6.0,0.0
中国GDP年率报告,2020,-6.8,-6.5,6.0,-213.33333333333334
中国GDP年率报告,2020,3.2,2.5,-6.8,-147.05882352941177
中国GDP年率报告,2020,4.9,5.2,3.2,53.125
中国GDP年率报告,2021,6.5,6.1,4.9,32.65306122448979
中国GDP年率报告,2021,18.3,19.0,6.5,181.53846153846155
中国GDP年率报告,2021,7.9,8.1,18.3,-56.830601092896174
中国GDP年率报告,2021,4.9,5.2,7.9,-37.9746835443038
中国GDP年率报告,2022,4.0,3.6,4.9,-18.36734693877552
中国GDP年率报告,2022,4.8,4.4,4.0,19.999999999999996
中国GDP年率报告,2022,0.4,1.0,4.8,-91.66666666666666
中国GDP年率报告,2022,,3.4,0.4,0.0
中国GDP年率报告,2022,3.9,3.4,0.4,875.0
中国GDP年率报告,2022,,3.4,0.4,0.0
中国GDP年率报告,2023,2.9,1.8,3.9,-25.64102564102564
中国GDP年率报告,2023,4.5,4.0,2.9,55.172413793103445
中国GDP年率报告,2023,6.3,7.3,4.5,39.99999999999999
中国GDP年率报告,2023,4.9,4.4,6.3,-22.22222222222221
中国GDP年率报告,2024,5.2,5.3,4.9,6.1224489795918435
中国GDP年率报告,2024,5.3,4.8,5.2,1.9230769230769162
中国GDP年率报告,2024,4.7,5.1,5.3,-11.32075471698113
中国GDP年率报告,2024,4.6,4.6,4.7,-2.1276595744680993
中国GDP年率报告,2025,5.4,5.0,4.6,17.391304347826097
中国GDP年率报告,2025,5.4,5.2,5.4,0.0
中国GDP年率报告,2025,5.2,,5.4,-3.703703703703709
