商品,日期,CPI_同比,预测值,前值
中国CPI年率报告,1986-02,7.1,,
中国CPI年率报告,1986-03,7.1,,7.1
中国CPI年率报告,1986-04,7.1,,7.1
中国CPI年率报告,1986-05,7.1,,7.1
中国CPI年率报告,1986-06,7.1,,7.1
中国CPI年率报告,1986-07,7.1,,7.1
中国CPI年率报告,1986-08,7.1,,7.1
中国CPI年率报告,1986-09,7.1,,7.1
中国CPI年率报告,1986-10,7.1,,7.1
中国CPI年率报告,1986-11,7.1,,7.1
中国CPI年率报告,1986-12,7.1,,7.1
中国CPI年率报告,1987-01,7.1,,7.1
中国CPI年率报告,1987-02,5.1,,7.1
中国CPI年率报告,1987-03,5.4,,5.1
中国CPI年率报告,1987-04,5.8,,5.4
中国CPI年率报告,1987-05,6.7,,5.8
中国CPI年率报告,1987-06,7.6,,6.7
中国CPI年率报告,1987-07,7.8,,7.6
中国CPI年率报告,1987-08,7.8,,7.8
中国CPI年率报告,1987-09,8.2,,7.8
中国CPI年率报告,1987-10,7.7,,8.2
中国CPI年率报告,1987-11,7.5,,7.7
中国CPI年率报告,1987-12,8.3,,7.5
中国CPI年率报告,1988-01,8.9,,8.3
中国CPI年率报告,1988-02,9.3,,8.9
中国CPI年率报告,1988-03,10.4,,9.3
中国CPI年率报告,1988-04,11.3,,10.4
中国CPI年率报告,1988-05,12.2,,11.3
中国CPI年率报告,1988-06,14.2,,12.2
中国CPI年率报告,1988-07,16.3,,14.2
中国CPI年率报告,1988-08,19.2,,16.3
中国CPI年率报告,1988-09,23.6,,19.2
中国CPI年率报告,1988-10,26.4,,23.6
中国CPI年率报告,1988-11,27.1,,26.4
中国CPI年率报告,1988-12,26.8,,27.1
中国CPI年率报告,1989-01,27.9,,26.8
中国CPI年率报告,1989-02,27.4,,27.9
中国CPI年率报告,1989-03,28.4,,27.4
中国CPI年率报告,1989-04,27.1,,28.4
中国CPI年率报告,1989-05,26.6,,27.1
中国CPI年率报告,1989-06,24.9,,26.6
中国CPI年率报告,1989-07,22.8,,24.9
