商品,日期,CPI_同比,预测值,前值,CPI_同比_同比
中国CPI年率报告,1986-02,7.1,,,
中国CPI年率报告,1986-03,7.1,,7.1,0.0
中国CPI年率报告,1986-04,7.1,,7.1,0.0
中国CPI年率报告,1986-05,7.1,,7.1,0.0
中国CPI年率报告,1986-06,7.1,,7.1,0.0
中国CPI年率报告,1986-07,7.1,,7.1,0.0
中国CPI年率报告,1986-08,7.1,,7.1,0.0
中国CPI年率报告,1986-09,7.1,,7.1,0.0
中国CPI年率报告,1986-10,7.1,,7.1,0.0
中国CPI年率报告,1986-11,7.1,,7.1,0.0
中国CPI年率报告,1986-12,7.1,,7.1,0.0
中国CPI年率报告,1987-01,7.1,,7.1,0.0
中国CPI年率报告,1987-02,5.1,,7.1,-28.169014084507047
中国CPI年率报告,1987-03,5.4,,5.1,5.882352941176494
中国CPI年率报告,1987-04,5.8,,5.4,7.407407407407396
中国CPI年率报告,1987-05,6.7,,5.8,15.517241379310342
中国CPI年率报告,1987-06,7.6,,6.7,13.432835820895516
中国CPI年率报告,1987-07,7.8,,7.6,2.6315789473684292
中国CPI年率报告,1987-08,7.8,,7.8,0.0
中国CPI年率报告,1987-09,8.2,,7.8,5.128205128205132
中国CPI年率报告,1987-10,7.7,,8.2,-6.097560975609751
中国CPI年率报告,1987-11,7.5,,7.7,-2.5974025974025983
中国CPI年率报告,1987-12,8.3,,7.5,10.666666666666668
中国CPI年率报告,1988-01,8.9,,8.3,7.2289156626506035
中国CPI年率报告,1988-02,9.3,,8.9,4.494382022471921
中国CPI年率报告,1988-03,10.4,,9.3,11.827956989247301
中国CPI年率报告,1988-04,11.3,,10.4,8.653846153846168
中国CPI年率报告,1988-05,12.2,,11.3,7.964601769911495
中国CPI年率报告,1988-06,14.2,,12.2,16.393442622950815
中国CPI年率报告,1988-07,16.3,,14.2,14.7887323943662
中国CPI年率报告,1988-08,19.2,,16.3,17.791411042944773
中国CPI年率报告,1988-09,23.6,,19.2,22.916666666666675
中国CPI年率报告,1988-10,26.4,,23.6,11.864406779661007
中国CPI年率报告,1988-11,27.1,,26.4,2.6515151515151603
中国CPI年率报告,1988-12,26.8,,27.1,-1.1070110701107083
中国CPI年率报告,1989-01,27.9,,26.8,4.104477611940283
中国CPI年率报告,1989-02,27.4,,27.9,-1.7921146953404965
中国CPI年率报告,1989-03,28.4,,27.4,3.649635036496357
中国CPI年率报告,1989-04,27.1,,28.4,-4.577464788732389
中国CPI年率报告,1989-05,26.6,,27.1,-1.845018450184499
中国CPI年率报告,1989-06,24.9,,26.6,-6.390977443609036
中国CPI年率报告,1989-07,22.8,,24.9,-8.43373493975903
