商品,日期,PMI,预测值,前值
中国官方制造业PMI,2005-02,54.7,,
中国官方制造业PMI,2005-03,54.5,,54.7
中国官方制造业PMI,2005-04,57.9,,54.5
中国官方制造业PMI,2005-05,56.7,,57.9
中国官方制造业PMI,2005-06,52.9,,56.7
中国官方制造业PMI,2005-07,51.7,,52.9
中国官方制造业PMI,2005-08,51.1,,51.7
中国官方制造业PMI,2005-09,52.6,,51.1
中国官方制造业PMI,2005-10,55.1,,52.6
中国官方制造业PMI,2005-11,54.1,,55.1
中国官方制造业PMI,2005-12,54.1,,54.1
中国官方制造业PMI,2006-01,54.3,,54.1
中国官方制造业PMI,2006-02,52.1,,54.3
中国官方制造业PMI,2006-03,52.1,,52.1
中国官方制造业PMI,2006-04,55.3,,52.1
中国官方制造业PMI,2006-05,58.1,,55.3
中国官方制造业PMI,2006-06,54.8,,58.1
中国官方制造业PMI,2006-07,54.1,,54.8
中国官方制造业PMI,2006-08,52.4,,54.1
中国官方制造业PMI,2006-09,53.1,,52.4
中国官方制造业PMI,2006-10,57.0,,53.1
中国官方制造业PMI,2006-11,54.7,,57.0
中国官方制造业PMI,2006-12,55.3,,54.7
中国官方制造业PMI,2007-01,54.8,,55.3
中国官方制造业PMI,2007-02,55.1,,54.8
中国官方制造业PMI,2007-03,53.1,,55.1
中国官方制造业PMI,2007-04,56.1,,53.1
中国官方制造业PMI,2007-05,58.6,,56.1
中国官方制造业PMI,2007-06,55.7,,58.6
中国官方制造业PMI,2007-07,54.5,,55.7
中国官方制造业PMI,2007-08,53.3,,54.5
中国官方制造业PMI,2007-09,54.0,,53.3
中国官方制造业PMI,2007-10,56.1,,54.0
中国官方制造业PMI,2007-11,53.2,,56.1
中国官方制造业PMI,2007-12,55.4,,53.2
中国官方制造业PMI,2008-01,55.3,,55.4
中国官方制造业PMI,2008-02,53.0,,55.3
中国官方制造业PMI,2008-03,53.4,,53.0
中国官方制造业PMI,2008-04,58.4,,53.4
