商品,日期,PMI,预测值,前值,PMI_同比
中国官方制造业PMI,2005-02,54.7,,,
中国官方制造业PMI,2005-03,54.5,,54.7,-0.3656307129798919
中国官方制造业PMI,2005-04,57.9,,54.5,6.238532110091732
中国官方制造业PMI,2005-05,56.7,,57.9,-2.072538860103623
中国官方制造业PMI,2005-06,52.9,,56.7,-6.701940035273379
中国官方制造业PMI,2005-07,51.7,,52.9,-2.2684310018903475
中国官方制造业PMI,2005-08,51.1,,51.7,-1.1605415860735047
中国官方制造业PMI,2005-09,52.6,,51.1,2.935420743639927
中国官方制造业PMI,2005-10,55.1,,52.6,4.752851711026618
中国官方制造业PMI,2005-11,54.1,,55.1,-1.814882032667875
中国官方制造业PMI,2005-12,54.1,,54.1,0.0
中国官方制造业PMI,2006-01,54.3,,54.1,0.3696857670979492
中国官方制造业PMI,2006-02,52.1,,54.3,-4.051565377532218
中国官方制造业PMI,2006-03,52.1,,52.1,0.0
中国官方制造业PMI,2006-04,55.3,,52.1,6.142034548944331
中国官方制造业PMI,2006-05,58.1,,55.3,5.063291139240511
中国官方制造业PMI,2006-06,54.8,,58.1,-5.679862306368333
中国官方制造业PMI,2006-07,54.1,,54.8,-1.2773722627737127
中国官方制造业PMI,2006-08,52.4,,54.1,-3.1423290203327237
中国官方制造业PMI,2006-09,53.1,,52.4,1.335877862595436
中国官方制造业PMI,2006-10,57.0,,53.1,7.34463276836157
中国官方制造业PMI,2006-11,54.7,,57.0,-4.035087719298236
中国官方制造业PMI,2006-12,55.3,,54.7,1.0968921389396646
中国官方制造业PMI,2007-01,54.8,,55.3,-0.9041591320072317
中国官方制造业PMI,2007-02,55.1,,54.8,0.5474452554744547
中国官方制造业PMI,2007-03,53.1,,55.1,-3.62976406533575
中国官方制造业PMI,2007-04,56.1,,53.1,5.649717514124286
中国官方制造业PMI,2007-05,58.6,,56.1,4.456327985739761
中国官方制造业PMI,2007-06,55.7,,58.6,-4.948805460750849
中国官方制造业PMI,2007-07,54.5,,55.7,-2.1543985637342944
中国官方制造业PMI,2007-08,53.3,,54.5,-2.2018348623853212
中国官方制造业PMI,2007-09,54.0,,53.3,1.3133208255159623
中国官方制造业PMI,2007-10,56.1,,54.0,3.8888888888888973
中国官方制造业PMI,2007-11,53.2,,56.1,-5.169340463458106
中国官方制造业PMI,2007-12,55.4,,53.2,4.135338345864659
中国官方制造业PMI,2008-01,55.3,,55.4,-0.18050541516245744
中国官方制造业PMI,2008-02,53.0,,55.3,-4.159132007233268
中国官方制造业PMI,2008-03,53.4,,53.0,0.7547169811320753
中国官方制造业PMI,2008-04,58.4,,53.4,9.363295880149813
中国官方制造业PMI,2008-05,59.2,,58.4,1.3698630136986356
中国官方制造业PMI,2008-06,53.3,,59.2,-9.966216216216228
中国官方制造业PMI,2008-07,52.0,,53.3,-2.4390243902438935
中国官方制造业PMI,2008-08,48.4,,52.0,-6.923076923076921
中国官方制造业PMI,2008-09,48.4,,48.4,0.0
中国官方制造业PMI,2008-10,51.2,,48.4,5.785123966942152
中国官方制造业PMI,2008-11,44.6,,51.2,-12.890625
中国官方制造业PMI,2008-12,38.8,,44.6,-13.00448430493274
中国官方制造业PMI,2009-01,41.2,,38.8,6.185567010309301
中国官方制造业PMI,2009-02,45.3,,41.2,9.951456310679596
中国官方制造业PMI,2009-03,49.0,,45.3,8.167770419426045
中国官方制造业PMI,2009-04,52.4,,49.0,6.938775510204076
中国官方制造业PMI,2009-05,53.5,,52.4,2.0992366412213803
中国官方制造业PMI,2009-06,53.1,,53.5,-0.747663551401867
中国官方制造业PMI,2009-07,53.2,,53.1,0.18832391713747842
中国官方制造业PMI,2009-08,53.3,,53.2,0.1879699248120259
